BLJAPNOD_01899	smc01586
BLJAPNOD_01454	smc02432
BLJAPNOD_03042	smc02083
BLJAPNOD_03017	smc02058
BLJAPNOD_04731	smb21300
BLJAPNOD_03352	smc01810
BLJAPNOD_03598	smc02367
BLJAPNOD_04082	smc03010
BLJAPNOD_00745	smc03837
BLJAPNOD_02018	smc01631
BLJAPNOD_00587	smc02560
BLJAPNOD_03053	smc02095
BLJAPNOD_06593	smb20102
BLJAPNOD_04085	smc03007
BLJAPNOD_03922	smc00921
BLJAPNOD_00685	smc04391
BLJAPNOD_01072	smc03196
BLJAPNOD_00616	smc02778
BLJAPNOD_00229	smc01138
BLJAPNOD_00375	smc00361
BLJAPNOD_00117	smc02147
BLJAPNOD_00606	smc02769
BLJAPNOD_03167	smc00995
BLJAPNOD_03491	smc00552
BLJAPNOD_04049	smc03043
BLJAPNOD_00635	smc02797
BLJAPNOD_03112	smc01032
BLJAPNOD_00399	smc00346
BLJAPNOD_00075	smc02239
BLJAPNOD_03061	smc02103
BLJAPNOD_04084	smc03008
BLJAPNOD_03193	smc01281
BLJAPNOD_01152	smc03936
BLJAPNOD_00874	smc03235
BLJAPNOD_03129	smc01024
BLJAPNOD_03734	smc00090
BLJAPNOD_02749	smc00522
BLJAPNOD_00944	smc02520
BLJAPNOD_05918	smb20503
BLJAPNOD_01842	smc02713
BLJAPNOD_00039	smc02273
BLJAPNOD_06230	smb21468
BLJAPNOD_04080	smc03012
BLJAPNOD_01137	smc02978
BLJAPNOD_01998	smc01643
BLJAPNOD_04237	sma1250
BLJAPNOD_04022	smc03063
BLJAPNOD_02678	smc00183
BLJAPNOD_00222	smc01131
BLJAPNOD_03545	smc02407
BLJAPNOD_03875	smc00876
BLJAPNOD_02838	smc01188
BLJAPNOD_00301	smc00413
BLJAPNOD_00743	smc03835
BLJAPNOD_02099	smc01874
BLJAPNOD_03790	smc00012
BLJAPNOD_03868	smc00869
BLJAPNOD_03156	smc01005
BLJAPNOD_03495	smc02544
BLJAPNOD_00446	smc02905
BLJAPNOD_03589	smc02376
BLJAPNOD_00785	smc03807
BLJAPNOD_01923	smc01563
BLJAPNOD_06541	smc01715
BLJAPNOD_04378	sma1717
BLJAPNOD_00624	smc02786
BLJAPNOD_01120	smc03152
BLJAPNOD_02845	smc01183
BLJAPNOD_02115	smc01882
BLJAPNOD_01303	smc03958
BLJAPNOD_04077	smc03015
BLJAPNOD_02913	smc00248
BLJAPNOD_01793	smb21002
BLJAPNOD_03600	smc02365
BLJAPNOD_03886	smc00886
BLJAPNOD_03403	smc01764
BLJAPNOD_03525	smc02635
BLJAPNOD_03693	smc00100
BLJAPNOD_01697	smc01510
BLJAPNOD_01412	smc00730
BLJAPNOD_05304	smb21037
BLJAPNOD_04777	smb21164
BLJAPNOD_03465	smc00579
BLJAPNOD_06045	smb20975
BLJAPNOD_02550	smc04243
BLJAPNOD_01285	smc03970
BLJAPNOD_03217	smc01306
BLJAPNOD_02497	smc04284
BLJAPNOD_01429	smc02451
BLJAPNOD_00185	smc01092
BLJAPNOD_03890	smc00932
BLJAPNOD_04806	smb21201
BLJAPNOD_00600	smc02764
BLJAPNOD_04311	smb20155
BLJAPNOD_03581	smc02382
BLJAPNOD_05990	smb20612
BLJAPNOD_01210	smc04018
BLJAPNOD_02635	smc00150
BLJAPNOD_02786	smc01237
BLJAPNOD_04788	smb21180
BLJAPNOD_00651	smc04091
BLJAPNOD_04052	smc03040
BLJAPNOD_01310	smc04459
BLJAPNOD_00609	smc02772
BLJAPNOD_06092	smb20433
BLJAPNOD_00162	smc01719
BLJAPNOD_05975	smb20014
BLJAPNOD_00608	smc02771
BLJAPNOD_05971	smb20018
BLJAPNOD_00640	smc02802
BLJAPNOD_02001	smc01640
BLJAPNOD_01615	smc01968
BLJAPNOD_01367	smc00680
BLJAPNOD_05127	smb20007
BLJAPNOD_03338	smc01907
BLJAPNOD_02042	smc01605
BLJAPNOD_00683	smc04393
BLJAPNOD_00500	smc02858
BLJAPNOD_03604	smc02361
BLJAPNOD_01100	smc03168
BLJAPNOD_03052	smc02094
BLJAPNOD_03462	smc00582
BLJAPNOD_03075	smc02117
BLJAPNOD_02078	smc01856
BLJAPNOD_03407	smc01760
BLJAPNOD_06058	smb20589
BLJAPNOD_00194	smc01102
BLJAPNOD_04599	smb21264
BLJAPNOD_00427	smc00327
BLJAPNOD_02213	sma0669
BLJAPNOD_03823	smc00974
BLJAPNOD_00247	smc01150
BLJAPNOD_01426	smc00742
BLJAPNOD_02761	smc00532
BLJAPNOD_00537	smc04109
BLJAPNOD_03593	smc02372
BLJAPNOD_01246	smc03987
BLJAPNOD_06069	smc01266
BLJAPNOD_02098	smc01873
BLJAPNOD_04319	smb20394
BLJAPNOD_03523	smc02633
BLJAPNOD_03313	smc01927
BLJAPNOD_02084	smc01861
BLJAPNOD_02697	smc00467
BLJAPNOD_01218	smc04011
BLJAPNOD_00203	smc01111
BLJAPNOD_06017	smb20604
BLJAPNOD_02512	sma0765
BLJAPNOD_04078	smc03014
BLJAPNOD_03032	smc02073
BLJAPNOD_00954	smc03087
BLJAPNOD_02542	smc04249
BLJAPNOD_03861	smc00861
BLJAPNOD_00153	smc02181
BLJAPNOD_04705	sma1182
BLJAPNOD_02648	smc00195
BLJAPNOD_03143	smc01018
BLJAPNOD_04178	smb21647
BLJAPNOD_04603	smb21269
BLJAPNOD_02104	smc01878
BLJAPNOD_01827	smc02726
BLJAPNOD_00968	smc03102
BLJAPNOD_01171	smc04057
BLJAPNOD_04633	sma1013
BLJAPNOD_03067	smc02109
BLJAPNOD_01405	smc00722
BLJAPNOD_00126	sma2327
BLJAPNOD_01428	smc04458
BLJAPNOD_01353	smc00675
BLJAPNOD_06047	smb20973
BLJAPNOD_01364	smc00677
BLJAPNOD_01284	smc03971
BLJAPNOD_01663	smc01829
BLJAPNOD_02489	smc04303
BLJAPNOD_04660	smb21298
BLJAPNOD_00696	smc04382
BLJAPNOD_00770	smc03861
BLJAPNOD_02184	smc01422
BLJAPNOD_00641	smc02803
BLJAPNOD_02082	smc01859
BLJAPNOD_03268	smc01344
BLJAPNOD_00807	smc03794
BLJAPNOD_00236	smc01142
BLJAPNOD_01327	smc00651
BLJAPNOD_00096	smc02223
BLJAPNOD_05367	sma1924
BLJAPNOD_06198	smb20762
BLJAPNOD_00895	smc02483
BLJAPNOD_00254	smc01154
BLJAPNOD_03229	smc01318
BLJAPNOD_01847	smc02708
BLJAPNOD_00792	smc03801
BLJAPNOD_04040	smc03052
BLJAPNOD_04024	smc03061
BLJAPNOD_00209	smc01117
BLJAPNOD_03424	smc00618
BLJAPNOD_03113	smc01031
BLJAPNOD_00825	smc03776
BLJAPNOD_04045	smc03047
BLJAPNOD_00788	smc03804
BLJAPNOD_02149	smc01440
BLJAPNOD_01131	smc02981
BLJAPNOD_03038	smc02079
BLJAPNOD_00708	smc03887
BLJAPNOD_01351	smc00673
BLJAPNOD_02839	smc01187
BLJAPNOD_04592	smb21256
BLJAPNOD_02187	smc01418
BLJAPNOD_03439	smc00603
BLJAPNOD_00271	smc01165
BLJAPNOD_03692	smc00041
BLJAPNOD_02908	smc00245
BLJAPNOD_00202	smc01110
BLJAPNOD_02031	smc01617
BLJAPNOD_02685	smc00189
BLJAPNOD_00118	smc02148
BLJAPNOD_03803	smc00002
BLJAPNOD_02071	smc01849
BLJAPNOD_04759	smb21144
BLJAPNOD_00571	smc02578
BLJAPNOD_03391	smc01776
BLJAPNOD_04485	sma1233
BLJAPNOD_00626	smc02788
BLJAPNOD_00076	smc02238
BLJAPNOD_04073	smc03019
BLJAPNOD_02487	smc04305
BLJAPNOD_00431	smc00324
BLJAPNOD_04035	smc03071
BLJAPNOD_01158	smc03930
BLJAPNOD_00228	smc01137
BLJAPNOD_00231	smc01140
BLJAPNOD_01146	smc03942
BLJAPNOD_00828	smc03774
BLJAPNOD_03398	smc01769
BLJAPNOD_01409	smc00726
BLJAPNOD_02470	smc04328
BLJAPNOD_03165	smc00996
BLJAPNOD_06059	smb20588
BLJAPNOD_03899	smc00896
BLJAPNOD_00914	smc02500
BLJAPNOD_00639	smc02801
BLJAPNOD_01116	smc03156
BLJAPNOD_06050	smb20970
BLJAPNOD_03874	smc00874
BLJAPNOD_05919	smb20502
BLJAPNOD_00107	smc02136
BLJAPNOD_00581	smc02567
BLJAPNOD_03711	smc00035
BLJAPNOD_02063	smc01842
BLJAPNOD_03987	smc00784
BLJAPNOD_02308	smc04296
BLJAPNOD_06910	sma0950
BLJAPNOD_04074	smc03018
BLJAPNOD_01167	smc03922
BLJAPNOD_01238	smc03993
BLJAPNOD_01283	smc03972
BLJAPNOD_04763	smb21148
BLJAPNOD_02017	smc01632
BLJAPNOD_03460	smc00584
BLJAPNOD_01739	smb20901
BLJAPNOD_02666	smc00172
BLJAPNOD_02425	smc00804
BLJAPNOD_02719	smc00537
BLJAPNOD_02762	smc00533
BLJAPNOD_03288	smc01361
BLJAPNOD_00572	smc02577
BLJAPNOD_06553	smb21320
BLJAPNOD_01045	smc03146
BLJAPNOD_04174	smb21643
BLJAPNOD_00216	smc01125
BLJAPNOD_04004	smc00769
BLJAPNOD_04044	smc03048
BLJAPNOD_03091	smc01053
BLJAPNOD_03459	smc00585
BLJAPNOD_01628	smc01956
BLJAPNOD_03346	smc04448
BLJAPNOD_00486	smc02867
BLJAPNOD_05552	sma0612
BLJAPNOD_00499	smc02857
BLJAPNOD_01992	smc01648
BLJAPNOD_04229	smb20984
BLJAPNOD_03039	smc02080
BLJAPNOD_03778	smc00074
BLJAPNOD_00065	smc02249
BLJAPNOD_03228	smc01317
BLJAPNOD_00027	smc02310
BLJAPNOD_01334	smc00657
BLJAPNOD_02883	smc00947
BLJAPNOD_03095	smc01048
BLJAPNOD_03197	smc01286
BLJAPNOD_03210	smc01299
BLJAPNOD_03221	smc01310
BLJAPNOD_03396	smc01771
BLJAPNOD_03470	smc00573
BLJAPNOD_03196	smc01285
BLJAPNOD_03225	smc01314
BLJAPNOD_03298	smc01371
BLJAPNOD_00014	sma2151
BLJAPNOD_03344	smc01904
BLJAPNOD_00634	smc02796
BLJAPNOD_03224	smc01313
BLJAPNOD_00111	smc02140
BLJAPNOD_02757	smc00528
BLJAPNOD_03869	smc00870
BLJAPNOD_03213	smc01302
BLJAPNOD_00369	smc00363
BLJAPNOD_04081	smc03011
BLJAPNOD_05705	sma5007
BLJAPNOD_03233	smc01322
BLJAPNOD_03100	smc01043
BLJAPNOD_03939	smc00820
BLJAPNOD_03316	smc01924
BLJAPNOD_00871	smc03238
BLJAPNOD_03327	smc01913
BLJAPNOD_03203	smc01292
BLJAPNOD_03216	smc01305
BLJAPNOD_00368	smc00364
BLJAPNOD_03793	smc00010
BLJAPNOD_02760	smc00531
BLJAPNOD_02714	smc00485
BLJAPNOD_03476	smc00567
BLJAPNOD_00414	smc00335
BLJAPNOD_04086	smc03006
BLJAPNOD_03214	smc01303
BLJAPNOD_02884	smc00948
BLJAPNOD_00079	smc02235
BLJAPNOD_01879	smc02686
BLJAPNOD_00113	smc02142
BLJAPNOD_01332	smc00655
BLJAPNOD_02722	smc00487
BLJAPNOD_01419	smc00737
BLJAPNOD_00733	smc03826
BLJAPNOD_01384	smc00700
BLJAPNOD_03287	smc01360
BLJAPNOD_04327	smb20349
BLJAPNOD_03399	smc01768
BLJAPNOD_02997	smc00294
BLJAPNOD_01231	smc04000
BLJAPNOD_01650	smc01941
BLJAPNOD_03046	smc02087
BLJAPNOD_03206	smc01295
BLJAPNOD_04005	smc00768
BLJAPNOD_03911	smc00912
BLJAPNOD_03883	smc00884
BLJAPNOD_01368	smc00681
BLJAPNOD_02122	smc01468
BLJAPNOD_00831	smc03770
BLJAPNOD_00713	smc03881
BLJAPNOD_00511	smc02849
BLJAPNOD_01446	smc02438
BLJAPNOD_00913	smc02499
BLJAPNOD_04039	smc03053
BLJAPNOD_01735	smb20904
BLJAPNOD_00085	smc02228
BLJAPNOD_02640	smc00155
BLJAPNOD_03059	smc02101
BLJAPNOD_03325	smc01915
BLJAPNOD_03447	smc00595
BLJAPNOD_03222	smc01326
BLJAPNOD_01155	smc03933
BLJAPNOD_05785	smb20268
BLJAPNOD_01886	smc02678
BLJAPNOD_06016	smb20605
BLJAPNOD_00445	smc02906
BLJAPNOD_02728	smc00494
BLJAPNOD_03057	smc02099
BLJAPNOD_02810	smc01218
BLJAPNOD_06197	smb20763
BLJAPNOD_03360	smc01804
BLJAPNOD_04324	smb20352
BLJAPNOD_00780	smc03820
BLJAPNOD_00804	smc03796
BLJAPNOD_01983	smc01651
BLJAPNOD_02802	smc01225
BLJAPNOD_03200	smc01289
BLJAPNOD_00321	smc00394
BLJAPNOD_03198	smc01287
BLJAPNOD_01243	smc03990
BLJAPNOD_04070	smc03022
BLJAPNOD_03218	smc01307
BLJAPNOD_03227	smc01316
BLJAPNOD_06649	smb21105
BLJAPNOD_03182	smc01270
BLJAPNOD_03208	smc01297
BLJAPNOD_02729	smc00495
BLJAPNOD_01683	smc01496
BLJAPNOD_03219	smc01308
BLJAPNOD_03261	smc01333
BLJAPNOD_02114	smc01881
BLJAPNOD_01979	smc01655
BLJAPNOD_00786	smc03806
BLJAPNOD_01684	smc01497
BLJAPNOD_03607	smc00458
BLJAPNOD_03050	smc02092
BLJAPNOD_03212	smc01301
BLJAPNOD_04095	smc02324
BLJAPNOD_01320	smc00643
BLJAPNOD_01290	smc03967
BLJAPNOD_03599	smc02366
BLJAPNOD_02465	smc04331
BLJAPNOD_00380	smc00357
BLJAPNOD_06638	smb20979
BLJAPNOD_03087	smc02122
BLJAPNOD_03818	smc00970
BLJAPNOD_00299	smc00415
BLJAPNOD_03098	smc01045
BLJAPNOD_00574	smc02575
BLJAPNOD_01228	smc04003
BLJAPNOD_03471	smc00572
BLJAPNOD_00775	smc03823
BLJAPNOD_00212	smc01120
BLJAPNOD_02087	smc01863
BLJAPNOD_03116	smc01028
BLJAPNOD_02445	smc04340
BLJAPNOD_01322	smc00646
BLJAPNOD_01166	smc03923
BLJAPNOD_03642	smc00048
BLJAPNOD_03677	smc00043
BLJAPNOD_03695	smc00040
BLJAPNOD_03466	smc00577
BLJAPNOD_00172	smc01726
BLJAPNOD_03205	smc01294
BLJAPNOD_01655	smc01837
BLJAPNOD_05276	sma1038
BLJAPNOD_03201	smc01290
BLJAPNOD_06233	smb20726
BLJAPNOD_03223	smc01312
BLJAPNOD_01487	smc01987
BLJAPNOD_03361	smc01803
BLJAPNOD_00941	smc02517
BLJAPNOD_03577	smc02389
BLJAPNOD_04329	smb21587
BLJAPNOD_01642	smc01951
BLJAPNOD_00032	smc02305
BLJAPNOD_01259	smc03979
BLJAPNOD_00887	smc02465
BLJAPNOD_04358	smb20027
BLJAPNOD_00888	smc02466
BLJAPNOD_01590	smc01979
BLJAPNOD_03215	smc01304
BLJAPNOD_01693	smc01506
BLJAPNOD_02789	smc01235
BLJAPNOD_02881	smc00945
BLJAPNOD_03296	smc01369
BLJAPNOD_01999	smc01642
BLJAPNOD_02759	smc00530
BLJAPNOD_00909	smc02495
BLJAPNOD_02606	smc00131
BLJAPNOD_03076	smc02118
BLJAPNOD_00866	smc03242
BLJAPNOD_00738	smc03831
BLJAPNOD_03232	smc01321
BLJAPNOD_01624	smc01963
BLJAPNOD_00955	smc03090
BLJAPNOD_06208	smb20755
BLJAPNOD_00894	smc02482
BLJAPNOD_03797	smc00007
BLJAPNOD_02048	smc01582
BLJAPNOD_03328	smc01912
BLJAPNOD_02169	smc01430
BLJAPNOD_01718	smc01527
BLJAPNOD_01997	smc01644
BLJAPNOD_02021	smc01628
BLJAPNOD_03209	smc01298
BLJAPNOD_01447	smc02437
BLJAPNOD_02507	smc04273
BLJAPNOD_03317	smc01923
BLJAPNOD_03820	smc00972
BLJAPNOD_05034	smb21523
BLJAPNOD_00188	smc01095
BLJAPNOD_02003	smc01639
BLJAPNOD_03202	smc01291
BLJAPNOD_02005	smc01637
BLJAPNOD_03580	smc02386
BLJAPNOD_06106	smb21438
BLJAPNOD_03397	smc01770
BLJAPNOD_03231	smc01320
BLJAPNOD_01292	smc03965
BLJAPNOD_00307	smc00407
BLJAPNOD_01920	smc01564
BLJAPNOD_03765	smc00021
BLJAPNOD_04654	smb20679
BLJAPNOD_00819	smc03783
BLJAPNOD_00106	smc02135
BLJAPNOD_02707	smc00480
BLJAPNOD_01672	smc01821
BLJAPNOD_00579	smc02569
BLJAPNOD_02600	smc04214
BLJAPNOD_00163	smc01720
BLJAPNOD_02015	smc01634
BLJAPNOD_02976	smc00289
BLJAPNOD_04046	smc03046
BLJAPNOD_00680	smc04396
BLJAPNOD_04785	smb21176
BLJAPNOD_03342	smc01905
BLJAPNOD_00029	smc02308
BLJAPNOD_01806	smc01534
BLJAPNOD_00453	smc02899
BLJAPNOD_00930	smc02510
BLJAPNOD_02684	smc00188
BLJAPNOD_01291	smc03966
BLJAPNOD_03010	smc02051
BLJAPNOD_03011	smc02052
BLJAPNOD_00366	smc00365
BLJAPNOD_03230	smc01319
BLJAPNOD_04652	smb20681
BLJAPNOD_01316	smc00641
BLJAPNOD_01621	smc01966
BLJAPNOD_05904	smb21377
BLJAPNOD_01408	smc00725
BLJAPNOD_00592	smc02755
BLJAPNOD_01828	smc02725
BLJAPNOD_00790	smc03803
BLJAPNOD_01647	smc01946
BLJAPNOD_06510	sma1358
BLJAPNOD_03089	smc02124
BLJAPNOD_00752	smc03846
BLJAPNOD_01982	smc01652
BLJAPNOD_02803	smc01224
BLJAPNOD_02826	smc01208
BLJAPNOD_02526	smc04262
BLJAPNOD_01685	smc01498
BLJAPNOD_03286	smc01359
BLJAPNOD_05999	smb20510
BLJAPNOD_04790	smb21181
BLJAPNOD_02436	smc04169
BLJAPNOD_03852	smc00853
BLJAPNOD_02178	smc01425
BLJAPNOD_02689	smc00192
BLJAPNOD_00519	smc02838
BLJAPNOD_04798	smb21186
BLJAPNOD_00829	smc03773
BLJAPNOD_06543	smb21016
BLJAPNOD_02768	smc02049
BLJAPNOD_02863	smc01169
BLJAPNOD_04510	smb20488
BLJAPNOD_00432	smc00323
BLJAPNOD_00830	smc03772
BLJAPNOD_01907	smc01578
BLJAPNOD_03314	smc01926
BLJAPNOD_00590	smc02753
BLJAPNOD_06199	smb20761
BLJAPNOD_03870	smc00871
BLJAPNOD_01202	smc04026
BLJAPNOD_00553	smc04125
BLJAPNOD_06651	smb21103
BLJAPNOD_03068	smc02110
BLJAPNOD_00102	smc02218
BLJAPNOD_01287	smc03969
BLJAPNOD_02083	smc01860
BLJAPNOD_03543	smc02659
BLJAPNOD_03280	smc01352
BLJAPNOD_04038	smc03054
BLJAPNOD_03838	smc00987
BLJAPNOD_04800	smb21192
BLJAPNOD_01056	smc03210
BLJAPNOD_03733	smc00091
BLJAPNOD_03411	smc01759
BLJAPNOD_01978	smc01656
BLJAPNOD_01086	smc03180
BLJAPNOD_00443	smc02908
BLJAPNOD_01875	smc02689
BLJAPNOD_00660	smc04410
BLJAPNOD_03799	smc00070
BLJAPNOD_00611	smc02774
BLJAPNOD_03628	smc00058
BLJAPNOD_02513	sma0766
BLJAPNOD_02447	smc04337
BLJAPNOD_00703	smc03891
BLJAPNOD_06235	smb20724
BLJAPNOD_02508	smc04270
BLJAPNOD_03427	smc00615
BLJAPNOD_00377	smc00359
BLJAPNOD_05767	smb21527
BLJAPNOD_01901	smc01585
BLJAPNOD_00199	smc01107
BLJAPNOD_05790	smb20263
BLJAPNOD_06656	smb20978
BLJAPNOD_06272	smb20712
BLJAPNOD_00716	smc03879
BLJAPNOD_00232	smc01141
BLJAPNOD_00690	smc04387
BLJAPNOD_03794	smc00009
BLJAPNOD_01201	smc04028
BLJAPNOD_03441	smc00601
BLJAPNOD_03725	smc00094
BLJAPNOD_04064	smc03028
BLJAPNOD_00638	smc02800
BLJAPNOD_05306	smb21039
BLJAPNOD_01230	smc04001
BLJAPNOD_03315	smc01925
BLJAPNOD_03990	smc00781
BLJAPNOD_01737	smb20902
BLJAPNOD_03489	smc00554
BLJAPNOD_02168	smc01431
BLJAPNOD_01665	smc01827
BLJAPNOD_00940	smc02516
BLJAPNOD_01224	smc04005
BLJAPNOD_01680	smc01815
BLJAPNOD_01304	smc03957
BLJAPNOD_05997	smb20508
BLJAPNOD_00213	smc01121
BLJAPNOD_01866	smc02695
BLJAPNOD_03079	smc02121
BLJAPNOD_04246	sma1273
BLJAPNOD_01349	smc00671
BLJAPNOD_03796	smc00008
BLJAPNOD_03970	smc00796
BLJAPNOD_06051	smb20969
BLJAPNOD_01855	smc02703
BLJAPNOD_01260	smc03978
BLJAPNOD_06523	sma0380
BLJAPNOD_01168	smc04460
BLJAPNOD_00707	smc03888
BLJAPNOD_00211	smc01119
BLJAPNOD_00288	smc00421
BLJAPNOD_01969	smc01663
BLJAPNOD_01448	smc02436
BLJAPNOD_05902	smb21375
BLJAPNOD_00682	smc04394
BLJAPNOD_03001	smc00298
BLJAPNOD_00736	smc03829
BLJAPNOD_02530	smc04259
BLJAPNOD_01433	smc02447
BLJAPNOD_01106	smc03163
BLJAPNOD_00735	smc03828
BLJAPNOD_01406	smc00723
BLJAPNOD_01759	smb20890
BLJAPNOD_01745	smb20895
BLJAPNOD_02081	smc01858
BLJAPNOD_02466	smc04330
BLJAPNOD_04062	smc03030
BLJAPNOD_00689	smc04388
BLJAPNOD_01782	smb20850
BLJAPNOD_03211	smc01300
BLJAPNOD_04356	smb20025
BLJAPNOD_04801	smb21196
BLJAPNOD_00951	smc04444
BLJAPNOD_02023	smc01626
BLJAPNOD_04618	smb21275
BLJAPNOD_01817	smc02735
BLJAPNOD_03114	smc01030
BLJAPNOD_00754	smc03848
BLJAPNOD_00081	smc02232
BLJAPNOD_01205	smc04023
BLJAPNOD_03584	smc02379
BLJAPNOD_00715	smc03880
BLJAPNOD_00911	smc02497
BLJAPNOD_02022	smc01627
BLJAPNOD_03585	smc02378
BLJAPNOD_04597	smb21262
BLJAPNOD_02864	smc01168
BLJAPNOD_06499	sma1769
BLJAPNOD_01261	smc03977
BLJAPNOD_01661	smc01830
BLJAPNOD_00737	smc03830
BLJAPNOD_04230	sma0581
BLJAPNOD_02488	smc04304
BLJAPNOD_01599	smc01973
BLJAPNOD_00575	smc02574
BLJAPNOD_03207	smc01296
BLJAPNOD_01410	smc00727
BLJAPNOD_04015	smc03070
BLJAPNOD_00238	smc01144
BLJAPNOD_00252	smc01152
BLJAPNOD_00554	smc04126
BLJAPNOD_02235	smc04346
BLJAPNOD_01014	smc03121
BLJAPNOD_04247	sma1276
BLJAPNOD_06241	smb20722
BLJAPNOD_02047	smc01588
BLJAPNOD_00692	smc04385
BLJAPNOD_01067	smc03201
BLJAPNOD_00036	smc02276
BLJAPNOD_01453	smc02433
BLJAPNOD_02833	smc01193
BLJAPNOD_02096	smc01871
BLJAPNOD_00133	smc02163
BLJAPNOD_01233	smc03998
BLJAPNOD_04802	smb21197
BLJAPNOD_04096	smc02323
BLJAPNOD_01667	smc01825
BLJAPNOD_00686	smc04390
BLJAPNOD_02074	smc01852
BLJAPNOD_03546	smc02405
BLJAPNOD_03497	smc02546
BLJAPNOD_00469	smc02884
BLJAPNOD_04506	smb20484
BLJAPNOD_02539	smc04252
BLJAPNOD_01593	smc01976
BLJAPNOD_01912	smc01569
BLJAPNOD_01212	smc04016
BLJAPNOD_01645	smc01948
BLJAPNOD_02910	smc00247
BLJAPNOD_02683	smc00187
BLJAPNOD_03204	smc01293
BLJAPNOD_05766	smb21528
BLJAPNOD_01298	smc03961
BLJAPNOD_06647	smb21107
BLJAPNOD_03359	smc01805
BLJAPNOD_03968	smc00797
BLJAPNOD_00598	smc02761
BLJAPNOD_00700	smc03895
BLJAPNOD_04765	smb21150
BLJAPNOD_00116	smc02146
BLJAPNOD_03262	smc01334
BLJAPNOD_01898	smc01587
BLJAPNOD_02764	smc00301
BLJAPNOD_06955	sma1990
BLJAPNOD_00607	smc02770
BLJAPNOD_04764	smb21149
BLJAPNOD_00773	smc03864
BLJAPNOD_00290	smc00419
BLJAPNOD_01076	smc03192
BLJAPNOD_03694	smc00099
BLJAPNOD_00306	smc00408
BLJAPNOD_00428	smc00326
BLJAPNOD_01012	smc03119
BLJAPNOD_03308	smc01934
BLJAPNOD_03056	smc02098
BLJAPNOD_04177	smb21646
BLJAPNOD_02531	smc04258
BLJAPNOD_00620	smc02782
BLJAPNOD_03982	smc00787
BLJAPNOD_02540	smc04251
BLJAPNOD_04041	smc03051
BLJAPNOD_02878	smc00942
BLJAPNOD_03388	smc01778
BLJAPNOD_00691	smc04386
BLJAPNOD_05877	smb20314
BLJAPNOD_03168	smc01256
BLJAPNOD_03320	smc01920
BLJAPNOD_03026	smc02067
BLJAPNOD_01157	smc03931
BLJAPNOD_00791	smc03802
BLJAPNOD_01164	smc03925
BLJAPNOD_01919	smc01565
BLJAPNOD_00104	smc02217
BLJAPNOD_00452	smc02900
BLJAPNOD_00526	smc02831
BLJAPNOD_02675	smc00180
BLJAPNOD_00805	smc03795
BLJAPNOD_03037	smc02078
BLJAPNOD_00748	smc03839
BLJAPNOD_04092	smc03001
BLJAPNOD_04013	smc00762
BLJAPNOD_01591	smc01978
BLJAPNOD_00767	smc03858
BLJAPNOD_00810	smc03791
BLJAPNOD_05793	smb20259
